epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,317.571,1.19992,0.84076,1.17846,0.73771,0.54641,0.59483,0.29393,1.83832,1.10509,1.6748,0.000330233,0.000330233,0.000330233
83,320.475,1.21146,0.85675,1.1849,0.72792,0.57668,0.65095,0.29683,1.98067,1.14831,1.84564,0.000313729,0.000313729,0.000313729
84,324.365,1.17842,0.87261,1.18924,0.67889,0.57752,0.59942,0.29046,1.84173,1.11545,1.663,0.000297226,0.000297226,0.000297226
85,327.424,1.14998,0.83122,1.17166,0.66911,0.57165,0.58471,0.28922,1.95241,1.153,1.78219,0.000280723,0.000280723,0.000280723
86,330.318,1.1302,0.79824,1.12694,0.7103,0.59835,0.65403,0.30118,2.00161,1.14395,1.87333,0.00026422,0.00026422,0.00026422
87,333.393,1.2086,0.85004,1.18121,0.66763,0.64668,0.64793,0.29454,1.88305,1.14777,1.76493,0.000247716,0.000247716,0.000247716
88,336.43,1.16131,0.78785,1.13706,0.67613,0.56805,0.5872,0.2906,1.81057,1.17649,1.70526,0.000231213,0.000231213,0.000231213
89,339.933,1.12608,0.81312,1.15498,0.64326,0.56984,0.60687,0.2932,1.84528,1.21652,1.7325,0.00021471,0.00021471,0.00021471
90,342.995,1.1613,0.82752,1.16613,0.70066,0.60534,0.64166,0.30202,1.93126,1.20539,1.80258,0.000198206,0.000198206,0.000198206
91,371.393,1.01243,0.77133,1.07068,0.71854,0.58899,0.64093,0.30242,1.87821,1.15589,1.75963,0.000181703,0.000181703,0.000181703
92,374.28,1.01598,0.69612,1.06256,0.72147,0.6062,0.62669,0.2989,1.94125,1.06733,1.80833,0.0001652,0.0001652,0.0001652
93,376.806,1.01273,0.70472,1.05221,0.72915,0.5862,0.6312,0.30086,1.96377,1.0221,1.852,0.000148696,0.000148696,0.000148696
94,379.742,0.9984,0.671,1.07221,0.73465,0.58731,0.65851,0.31135,1.88532,1.02105,1.78089,0.000132193,0.000132193,0.000132193
95,382.621,0.96178,0.65529,1.05878,0.71456,0.60227,0.65079,0.30958,1.87893,1.04969,1.79006,0.00011569,0.00011569,0.00011569
96,385.757,1.00425,0.66346,1.06601,0.65332,0.62698,0.63492,0.29949,1.90327,1.09958,1.82609,9.91865e-05,9.91865e-05,9.91865e-05
97,388.925,0.9477,0.65459,1.06213,0.71276,0.54187,0.60571,0.2891,1.88559,1.11182,1.80682,8.26832e-05,8.26832e-05,8.26832e-05
98,391.418,0.93508,0.62051,1.03282,0.64814,0.5904,0.60643,0.29175,1.85377,1.12621,1.75639,6.61799e-05,6.61799e-05,6.61799e-05
99,393.928,1.00071,0.66351,1.05658,0.63894,0.59817,0.59826,0.29003,1.84218,1.12073,1.74403,4.96766e-05,4.96766e-05,4.96766e-05
