epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,474.856,1.2018,0.88474,1.21331,0.79789,0.51669,0.59584,0.30068,1.73589,1.00876,1.69633,0.000907848,0.000907848,0.000907848
94,479.248,1.20297,0.90211,1.20145,0.72472,0.56376,0.58898,0.29584,1.66791,1.06309,1.59619,0.000899597,0.000899597,0.000899597
95,483.317,1.24269,0.88806,1.21236,0.74337,0.58565,0.58375,0.29918,1.62815,1.06112,1.55082,0.000891345,0.000891345,0.000891345
96,487.612,1.23445,0.9209,1.19758,0.6522,0.5428,0.56125,0.29757,1.58736,1.17629,1.56817,0.000883093,0.000883093,0.000883093
97,492.387,1.28483,0.89226,1.22905,0.73937,0.50579,0.55713,0.29806,1.57921,1.0789,1.49179,0.000874842,0.000874842,0.000874842
98,496.941,1.27208,0.94391,1.2357,0.71061,0.53145,0.56932,0.31462,1.54241,1.03879,1.53047,0.00086659,0.00086659,0.00086659
99,501.205,1.22472,0.91552,1.24037,0.79971,0.57099,0.60115,0.30386,1.69108,1.04543,1.66248,0.000858338,0.000858338,0.000858338
100,505.438,1.19726,0.89668,1.20029,0.77472,0.5041,0.5606,0.29351,1.65483,1.12468,1.57185,0.000850087,0.000850087,0.000850087
101,509.806,1.27719,0.93197,1.21471,0.80879,0.48676,0.57165,0.28883,1.69445,1.01959,1.60262,0.000841835,0.000841835,0.000841835
102,514.26,1.22113,0.88564,1.21243,0.74654,0.51989,0.60169,0.29932,1.6261,0.99033,1.56643,0.000833583,0.000833583,0.000833583
103,518.22,1.22617,0.89471,1.22019,0.79051,0.52975,0.59448,0.31059,1.5553,1.11468,1.54974,0.000825332,0.000825332,0.000825332
104,522.761,1.2334,0.90069,1.22,0.69346,0.53125,0.57381,0.30222,1.55139,1.21019,1.48739,0.00081708,0.00081708,0.00081708
105,527.189,1.19502,0.8731,1.17763,0.78487,0.52199,0.59174,0.29714,1.57328,0.99172,1.49003,0.000808828,0.000808828,0.000808828
106,531.385,1.24304,0.88789,1.1888,0.78928,0.48611,0.56893,0.31817,1.49351,1.00534,1.40795,0.000800577,0.000800577,0.000800577
107,535.658,1.21734,0.89656,1.20597,0.74907,0.52778,0.57085,0.30252,1.52131,1.04928,1.45894,0.000792325,0.000792325,0.000792325
108,539.922,1.1922,0.8717,1.20373,0.78958,0.52199,0.55721,0.29303,1.59477,1.21566,1.49769,0.000784073,0.000784073,0.000784073
109,544.03,1.20761,0.85041,1.1821,0.77624,0.51031,0.55607,0.28033,1.71683,1.19636,1.63138,0.000775822,0.000775822,0.000775822
110,548.122,1.19066,0.84698,1.18742,0.7234,0.54127,0.5736,0.28237,1.75822,1.13194,1.62699,0.00076757,0.00076757,0.00076757
111,552.446,1.21769,0.87611,1.19131,0.83058,0.52788,0.60042,0.31262,1.59352,0.92938,1.51741,0.000759318,0.000759318,0.000759318
112,556.728,1.13141,0.80794,1.20646,0.72548,0.55324,0.61046,0.30942,1.61698,0.96064,1.54928,0.000751067,0.000751067,0.000751067
113,560.843,1.20697,0.83651,1.18405,0.78721,0.50716,0.58752,0.2904,1.6306,1.04427,1.52836,0.000742815,0.000742815,0.000742815
114,564.916,1.17869,0.86557,1.1897,0.70929,0.51968,0.55561,0.27195,1.62242,1.09765,1.50186,0.000734564,0.000734564,0.000734564
115,569.184,1.23711,0.87688,1.22951,0.68998,0.56934,0.58507,0.29749,1.51415,1.01588,1.46828,0.000726312,0.000726312,0.000726312
116,573.173,1.20445,0.89544,1.20773,0.74685,0.45957,0.52049,0.28677,1.61152,1.34919,1.5076,0.00071806,0.00071806,0.00071806
117,577.198,1.18885,0.87174,1.20036,0.76198,0.51994,0.56411,0.29698,1.58826,1.05945,1.51831,0.000709809,0.000709809,0.000709809
118,581.119,1.12935,0.8692,1.16894,0.82645,0.50796,0.57779,0.30267,1.59758,1.03263,1.52836,0.000701557,0.000701557,0.000701557
119,585.261,1.13023,0.84521,1.16888,0.81549,0.4909,0.59102,0.31065,1.54027,0.97656,1.5013,0.000693305,0.000693305,0.000693305
120,589.491,1.13953,0.82331,1.17772,0.77333,0.5162,0.57741,0.30689,1.57149,1.01015,1.48405,0.000685054,0.000685054,0.000685054
121,593.912,1.14602,0.82405,1.17925,0.72423,0.53775,0.57861,0.32182,1.48118,1.01002,1.4656,0.000676802,0.000676802,0.000676802
122,598.105,1.14533,0.81091,1.15646,0.77745,0.46117,0.54719,0.29866,1.55108,1.0972,1.50755,0.00066855,0.00066855,0.00066855
